Patrimonio;Modelo;Secretaria;Setor;Contador Inicial;Contador Final;Consumo
S/P_8A34BE;Brother MFC-L6902DW;AGENTE;Pendente;100678;100681;3
S/P_D8A8B6;Brother MFC-L6902DW;AGENTE;Pendente;267563;267648;85
S/P_1AB777;Brother DCP-L5662DN;AGENTE;Pendente;29449;29457;8
S/P_E784D5;Brother MFC-L6902DW;AGENTE;Pendente;263283;263403;120
S/P_1A494C;Brother MFC-L6902DW;AGENTE;Pendente;36424;36424;0
S/P_DC09D8;Brother MFC-L6902DW;AGENTE;Pendente;57938;57939;1
S/P_491072;HP LaserJet MFP E425;AGENTE;Pendente;3432;3433;1
S/P_58DD6A;Brother DCP-L5512DN;AGENTE;Pendente;4363;4363;0
S/P_2F84D5;Brother DCP-L5652DN;AGENTE;Pendente;219092;219221;129
S/P_65396A;Brother DCP-L5652DN;AGENTE;Pendente;43878;43899;21
S/P_FB1355;RICOH MP C3003;AGENTE;Pendente;313568;313572;4
S/P_CC7F02;Brother MFC-L6902DW;AGENTE;Pendente;69212;69326;114
S/P_9E454A;Brother DCP-L5652DN;AGENTE;Pendente;132394;132464;70
S/P_D37FAE;ECOSYS M3145idn;AGENTE;Pendente;97840;97842;2
S/P_74B6F6;Brother MFC-L6902DW;AGENTE;Pendente;37236;37239;3
S/P_9D1436;Lexmark MX410de 7015;AGENTE;Pendente;75033;75035;2
S/P_9E0909;EPSON WF-C5790 Serie;AGENTE;Pendente;35077;35098;21
S/P_A77513;Brother DCP-L5662DN;AGENTE;Pendente;42124;42743;619
S/P_AD1FA1;HP LaserJet MFP E425;AGENTE;Pendente;6572;6581;9
S/P_22FA77;Brother DCP-L5652DN;AGENTE;Pendente;261129;261204;75
S/P_F7D1AD;Brother MFC-L6902DW;AGENTE;Pendente;220776;220780;4
S/P_C180EC;Brother MFC-L6902DW;AGENTE;Pendente;42287;42297;10
S/P_C43F84;Brother MFC-L6902DW;AGENTE;Pendente;165700;165710;10
S/P_A5093A;Brother MFC-L6902DW;AGENTE;Pendente;161812;161825;13
S/P_B27F05;Brother DCP-L5652DN;AGENTE;Pendente;147580;147719;139
S/P_A1157B;Lexmark MX410de 7015;AGENTE;Pendente;163001;163048;47
S/P_24CD7A;ECOSYS M3145idn;AGENTE;Pendente;33403;33407;4
S/P_53490C;Brother DCP-L5652DN;AGENTE;Pendente;48802;48805;3
S/P_982F5B;HP Color LaserJet Pr;AGENTE;Pendente;9665;9672;7
S/P_580CDC;Brother MFC-L5912DW;AGENTE;Pendente;1093;1093;0
S/P_2EDEC1;Brother DCP-L5652DN;AGENTE;Pendente;26991;26991;0
S/P_05F3F7;Brother MFC-L6902DW;AGENTE;Pendente;34783;34783;0
S/P_77FF09;Brother MFC-L6902DW;AGENTE;Pendente;31104;31105;1
S/P_7F00D7;ECOSYS M3145idn;AGENTE;Pendente;238718;238793;75
S/P_95EAF9;ECOSYS M3145idn;AGENTE;Pendente;77084;77089;5
S/P_296A53;Brother MFC-L6902DW;AGENTE;Pendente;424098;424134;36
S/P_EF088A;Brother DCP-L5652DN;AGENTE;Pendente;128852;128912;60
S/P_82AAE2;Brother DCP-L5652DN;AGENTE;Pendente;130698;130839;141
S/P_5F8058;ECOSYS M3145idn;AGENTE;Pendente;30329;30336;7
S/P_DCD267;ECOSYS M3145idn;AGENTE;Pendente;19812;19812;0
S/P_EA02F4;ECOSYS M3145idn;AGENTE;Pendente;60684;60751;67
S/P_23118F;ECOSYS M3145idn;AGENTE;Pendente;26887;26891;4
S/P_9E07B3;Brother MFC-L6902DW;AGENTE;Pendente;74988;75044;56
S/P_B06C61;ECOSYS M3145idn;AGENTE;Pendente;53582;53623;41
S/P_F87911;ECOSYS M3145idn;AGENTE;Pendente;90674;90775;101
S/P_65FC28;ECOSYS M3145idn;AGENTE;Pendente;39773;39777;4
S/P_2F353F;ECOSYS M3145idn;AGENTE;Pendente;71392;71452;60
S/P_7BF01F;EPSON L6190 Series;AGENTE;Pendente;21978;21987;9
S/P_9854E2;Brother MFC-L6902DW;AGENTE;Pendente;398138;398151;13
S/P_2275E1;Brother MFC-L6902DW;AGENTE;Pendente;70830;70832;2
S/P_483154;Brother MFC-L6902DW;AGENTE;Pendente;89322;89322;0
S/P_308ADB;Brother MFC-L6902DW;AGENTE;Pendente;24738;24743;5
S/P_322A68;ECOSYS M3145idn;AGENTE;Pendente;15621;15621;0
S/P_F976F4;Brother MFC-L6902DW;AGENTE;Pendente;43869;43871;2
S/P_3622D4;Brother DCP-L5652DN;AGENTE;Pendente;173413;173439;26
S/P_E8D8E2;Brother DCP-L5652DN;AGENTE;Pendente;60816;60816;0
S/P_97D60F;Brother MFC-L6902DW;AGENTE;Pendente;180528;180538;10
S/P_B9858E;Brother MFC-L6902DW;AGENTE;Pendente;35801;35834;33
S/P_B5F86B;Brother DCP-L5652DN;AGENTE;Pendente;53324;53357;33
S/P_24B760;Brother DCP-L5652DN;AGENTE;Pendente;92829;92834;5
S/P_D558E4;Brother DCP-L5652DN;AGENTE;Pendente;177560;177581;21
S/P_182517;ECOSYS M3145idn;AGENTE;Pendente;41990;41990;0
;;;;;TOTAL GERAL:;2341
